fCountry,Happiness
Australia,7.5
Austria,7.6
Belgium,7.3
Brazil,6.6
Canada,7.6
Chile,5.7
Colombia,6.3
Czech Republic,6.7
Denmark,7.9
Estonia,5.4
Finland,7.2
France,5.9
Germany,7.4
Greece,4.4
Hungary,5.1
Iceland,7.4
Ireland,7.2
Israel,7.4
Italy,5.7
Japan,6
Korea,6.1
Latvia,5.4
Lithuania,5.6
Luxembourg,6.8
Mexico,6.5
Netherlands,7.7
New Zealand,7.4
Norway,7.5
Poland,6.2
Portugal,4.7
Russia,5.7
Slovak Republic,7.1
Slovenia,5.9
South Africa,4.7
Spain,6.1
Sweden,7.7
Switzerland,7.5
Turkey,5.2
United Kingdom,6.8
United States,7.4